"id","region","category","amount","updated_at"
1,서울,승용최대보조금,1700,"2026-02-25 03:13:12"
2,서울,초소형최대보조금,750,"2026-02-25 03:13:12"
3,서울,화물최대보조금,1650,"2026-02-25 03:13:12"
4,서울,승용최소보조금,0,"2026-02-25 03:13:12"
5,서울,초소형최소보조금,0,"2026-02-25 03:13:12"
6,서울,화물최소보조금,0,"2026-02-25 03:13:12"
7,서울,승용보조금평균값,1700,"2026-02-25 03:13:12"
8,서울,초소형보조금평균값,750,"2026-02-25 03:13:12"
9,서울,화물보조금평균값,1650,"2026-02-25 03:13:12"
10,경기,승용최대보조금,1700,"2026-02-25 03:13:12"
11,경기,초소형최대보조금,700,"2026-02-25 03:13:12"
12,경기,화물최대보조금,1600,"2026-02-25 03:13:12"
13,경기,승용최소보조금,75,"2026-02-25 03:13:12"
14,경기,초소형최소보조금,5,"2026-02-25 03:13:12"
15,경기,화물최소보조금,0,"2026-02-25 03:13:12"
16,경기,승용보조금평균값,1647,"2026-02-25 03:13:12"
17,경기,초소형보조금평균값,563,"2026-02-25 03:13:12"
18,경기,화물보조금평균값,551,"2026-02-25 03:13:12"
19,강원,승용최대보조금,1840,"2026-02-25 03:13:12"
20,강원,초소형최대보조금,770,"2026-02-25 03:13:12"
21,강원,화물최대보조금,0,"2026-02-25 03:13:12"
22,강원,승용최소보조금,0,"2026-02-25 03:13:12"
23,강원,초소형최소보조금,0,"2026-02-25 03:13:12"
24,강원,화물최소보조금,0,"2026-02-25 03:13:12"
25,강원,승용보조금평균값,1646,"2026-02-25 03:13:12"
26,강원,초소형보조금평균값,274,"2026-02-25 03:13:12"
27,강원,화물보조금평균값,0,"2026-02-25 03:13:12"
28,경남,승용최대보조금,2100,"2026-02-25 03:13:12"
29,경남,초소형최대보조금,750,"2026-02-25 03:13:12"
30,경남,화물최대보조금,1800,"2026-02-25 03:13:12"
31,경남,승용최소보조금,0,"2026-02-25 03:13:12"
32,경남,초소형최소보조금,0,"2026-02-25 03:13:12"
33,경남,화물최소보조금,0,"2026-02-25 03:13:12"
34,경남,승용보조금평균값,1868,"2026-02-25 03:13:12"
35,경남,초소형보조금평균값,650,"2026-02-25 03:13:12"
36,경남,화물보조금평균값,900,"2026-02-25 03:13:12"
37,경북,승용최대보조금,2100,"2026-02-25 03:13:12"
38,경북,초소형최대보조금,750,"2026-02-25 03:13:12"
39,경북,화물최대보조금,1700,"2026-02-25 03:13:12"
40,경북,승용최소보조금,350,"2026-02-25 03:13:12"
41,경북,초소형최소보조금,0,"2026-02-25 03:13:12"
42,경북,화물최소보조금,0,"2026-02-25 03:13:12"
43,경북,승용보조금평균값,1752,"2026-02-25 03:13:12"
44,경북,초소형보조금평균값,531,"2026-02-25 03:13:12"
45,경북,화물보조금평균값,354,"2026-02-25 03:13:12"
46,광주,승용최대보조금,1900,"2026-02-25 03:13:12"
47,광주,초소형최대보조금,700,"2026-02-25 03:13:12"
48,광주,화물최대보조금,0,"2026-02-25 03:13:12"
49,광주,승용최소보조금,0,"2026-02-25 03:13:12"
50,광주,초소형최소보조금,0,"2026-02-25 03:13:12"
51,광주,화물최소보조금,0,"2026-02-25 03:13:12"
52,광주,승용보조금평균값,1900,"2026-02-25 03:13:12"
53,광주,초소형보조금평균값,700,"2026-02-25 03:13:12"
54,광주,화물보조금평균값,0,"2026-02-25 03:13:12"
55,대구,승용최대보조금,1800,"2026-02-25 03:13:12"
56,대구,초소형최대보조금,850,"2026-02-25 03:13:12"
57,대구,화물최대보조금,1750,"2026-02-25 03:13:12"
58,대구,승용최소보조금,0,"2026-02-25 03:13:12"
59,대구,초소형최소보조금,0,"2026-02-25 03:13:12"
60,대구,화물최소보조금,0,"2026-02-25 03:13:12"
61,대구,승용보조금평균값,1800,"2026-02-25 03:13:12"
62,대구,초소형보조금평균값,850,"2026-02-25 03:13:12"
