"id","region","year","count_ev","count_charger","updated_at","count_ice"
1,서울,2022,43588,3134435,"2026-02-24 00:01:07",3134435
2,부산,2022,13830,1454620,"2026-02-24 00:01:07",1454620
3,대구,2022,16487,1196624,"2026-02-24 00:01:07",1196624
4,인천,2022,13963,1665982,"2026-02-24 00:01:07",1665982
5,광주,2022,6148,696358,"2026-02-24 00:01:07",696358
6,대전,2022,8546,685391,"2026-02-24 00:01:07",685391
7,울산,2022,5380,577018,"2026-02-24 00:01:07",577018
8,세종,2022,2010,184583,"2026-02-24 00:01:07",184583
9,경기,2022,43847,75000,"2026-02-24 00:01:07",6178462
10,강원,2022,9845,6178462,"2026-02-24 00:01:07",820770
11,충북,2022,9148,820770,"2026-02-24 00:01:07",885230
12,충남,2022,10798,885230,"2026-02-24 00:01:07",1168723
13,전북,2022,8552,1168723,"2026-02-24 00:01:07",953254
14,전남,2022,9175,953254,"2026-02-24 00:01:07",1165933
15,경북,2022,11321,1165933,"2026-02-24 00:01:07",1491374
16,경남,2022,14363,1491374,"2026-02-24 00:01:07",1822584
17,제주,2022,25583,1822584,"2026-02-24 00:01:07",636394
18,서울,2023,62546,3131756,"2026-02-24 00:01:07",3131756
19,부산,2023,24051,1477671,"2026-02-24 00:01:07",1477671
20,대구,2023,24658,1207321,"2026-02-24 00:01:07",1207321
21,인천,2023,28002,1668130,"2026-02-24 00:01:07",1668130
22,광주,2023,10301,704972,"2026-02-24 00:01:07",704972
23,대전,2023,15665,693783,"2026-02-24 00:01:07",693783
24,울산,2023,7644,582082,"2026-02-24 00:01:07",582082
25,세종,2023,3342,191180,"2026-02-24 00:01:07",191180
26,경기,2023,83994,6309522,"2026-02-24 00:01:07",6309522
27,강원,2023,16609,837291,"2026-02-24 00:01:07",837291
28,충북,2023,16943,902705,"2026-02-24 00:01:07",902705
29,충남,2023,17876,1197876,"2026-02-24 00:01:07",1197876
30,전북,2023,14678,965630,"2026-02-24 00:01:07",965630
31,전남,2023,16227,1222480,"2026-02-24 00:01:07",1222480
32,경북,2023,19427,1508867,"2026-02-24 00:01:07",1508867
33,경남,2023,25214,1875655,"2026-02-24 00:01:07",1875655
34,제주,2023,32917,658721,"2026-02-24 00:01:07",658721
35,서울,2024,76040,3115018,"2026-02-24 00:01:07",3115018
36,부산,2024,36853,1492971,"2026-02-24 00:01:07",1492971
37,대구,2024,31027,1228137,"2026-02-24 00:01:07",1228137
38,인천,2024,42805,1690747,"2026-02-24 00:01:07",1690747
39,광주,2024,13768,710714,"2026-02-24 00:01:07",710714
40,대전,2024,19502,706299,"2026-02-24 00:01:07",706299
41,울산,2024,10703,589841,"2026-02-24 00:01:07",589841
42,세종,2024,4855,193717,"2026-02-24 00:01:07",193717
43,경기,2024,122243,6416272,"2026-02-24 00:01:07",6416272
44,강원,2024,20951,847183,"2026-02-24 00:01:07",847183
45,충북,2024,22091,916170,"2026-02-24 00:01:07",916170
46,충남,2024,25728,1223687,"2026-02-24 00:01:07",1223687
47,전북,2024,22178,972364,"2026-02-24 00:01:07",972364
48,전남,2024,25302,1227294,"2026-02-24 00:01:07",1227294
49,경북,2024,27346,1509616,"2026-02-24 00:01:07",1509616
50,경남,2024,39192,1908328,"2026-02-24 00:01:07",1908328
51,제주,2024,39472,664014,"2026-02-24 00:01:07",664014
52,서울,2025,86792,3089607,"2026-02-24 00:01:07",3089607
53,부산,2025,46879,1519799,"2026-02-24 00:01:07",1519799
54,대구,2025,35794,1226744,"2026-02-24 00:01:07",1226744
55,인천,2025,57421,1691403,"2026-02-24 00:01:07",1691403
56,광주,2025,16558,714556,"2026-02-24 00:01:07",714556
57,대전,2025,23186,715290,"2026-02-24 00:01:07",715290
58,울산,2025,12836,595546,"2026-02-24 00:01:07",595546
59,세종,2025,6050,196543,"2026-02-24 00:01:07",196543
60,경기,2025,160504,6493062,"2026-02-24 00:01:07",6493062
61,강원,2025,23798,851977,"2026-02-24 00:01:07",851977
62,충북,2025,27505,923130,"2026-02-24 00:01:07",923130
63,충남,2025,32402,1242905,"2026-02-24 00:01:07",1242905
64,전북,2025,27586,976594,"2026-02-24 00:01:07",976594
65,전남,2025,32763,1248167,"2026-02-24 00:01:07",1248167
66,경북,2025,34550,1519826,"2026-02-24 00:01:07",1519826
67,경남,2025,49877,1935627,"2026-02-24 00:01:07",1935627
68,제주,2025,49513,660745,"2026-02-24 00:01:07",660745
69,서울,2026,105549,3051822,"2026-02-24 00:01:07",3051822
70,부산,2026,63969,1513640,"2026-02-24 00:01:07",1513640
71,대구,2026,43579,1216819,"2026-02-24 00:01:07",1216819
72,인천,2026,83928,1668479,"2026-02-24 00:01:07",1668479
73,광주,2026,20664,708151,"2026-02-24 00:01:07",708151
74,대전,2026,27600,718725,"2026-02-24 00:01:07",718725
75,울산,2026,16711,594578,"2026-02-24 00:01:07",594578
76,세종,2026,8011,196353,"2026-02-24 00:01:07",196353
77,경기,2026,218546,6500095,"2026-02-24 00:01:07",6500095
78,강원,2026,28771,849930,"2026-02-24 00:01:07",849930
79,충북,2026,36062,920277,"2026-02-24 00:01:07",920277
80,충남,2026,42166,1247016,"2026-02-24 00:01:07",1247016
81,전북,2026,33507,972114,"2026-02-24 00:01:07",972114
82,전남,2026,42897,1276296,"2026-02-24 00:01:07",1276296
83,경북,2026,46103,1516539,"2026-02-24 00:01:07",1516539
84,경남,2026,70061,1945079,"2026-02-24 00:01:07",1945079
85,제주,2026,60966,664307,"2026-02-24 00:01:07",664307
